rank_90d,rank_12m,volume_rank,opportunity_id,problem_one_liner,metric_relevance,prevalence_relevant,prevalence_unfiltered,postponement_rate,recency_90d_share,actionability,delay_mechanism,suggested_lever,source_mix,job_mix,blocker_mix,comparison_notes
1,2,2,unknown_price,Users hesitate on a saved item because the current price feels too high.,4.0,0.2584,0.0019,1.0,0.7391,0.625,"This theme may delay a saved-item purchase, but the 30-day mechanism is weaker or mixed; treat volume as a loudness diagnostic rather than a conversion lever.",Hypothesis TBD — inspect quotes before committing a 30-day test,play:1.0,unknown:1.0,price:1.0,unknown_price outranks bookmark_later_photo_mismatch for a buy within 30 days of save (recent 90 days): composite conversion score is higher on the 90-day view.
2,1,5,bookmark_later_photo_mismatch,Users save items as bookmarks instead of buying now because the product looks different than photos or haul videos.,4.0,0.0637,0.0005,1.0,0.7647,0.775,"Saving is bookmarking, not near-term purchase intent, so 30-day conversion stays low.",Better photos / haul proof on the PDP for saved items,play:0.875; youtube:0.125,bookmark_later:1.0,photo_mismatch:1.0,bookmark_later_photo_mismatch outranks wait_for_sale_sale_timing for a buy within 30 days of save (recent 90 days): lower 30-day delay score (4 vs 5); higher share waiting past 30 days (1.00 vs 0.44); beats wait_for_sale_sale_timing despite lower share of all reviews (loudness) (0.001 vs 0.001).
3,3,3,wait_for_sale_sale_timing,Users wait for a sale or price drop before buying saved items because they are waiting for sale timing (for example EORS).,5.0,0.1011,0.0007,0.4444,0.6667,0.85,"Users park saved items until a sale window (EORS / price drop), so purchase slips past 30 days by design.",Wishlist price-drop alerts / sale countdown on saved items,play:0.9231; youtube:0.0769,wait_for_sale:1.0,sale_timing:1.0,wait_for_sale_sale_timing outranks intent_blocked_fit for a buy within 30 days of save (recent 90 days): higher 30-day delay score (5 vs 4).
4,4,8,intent_blocked_fit,Users want the item but a concrete blocker stops checkout because they are unsure about size or fit before ordering a saved item.,4.0,0.0337,0.0002,0.4444,0.7778,0.9,Fit uncertainty stops checkout of an otherwise intended saved item within 30 days.,"Fit confidence on saved items (size recs, chart clarity)",play:1.0,intent_blocked:0.8889; shortlist_compare:0.1111,fit:0.5; fabric_quality:0.125; photo_mismatch:0.125; price:0.125; size_chart:0.125,intent_blocked_fit outranks unknown_competitor_check for a buy within 30 days of save (recent 90 days): higher 30-day delay score (4 vs 3); lower share waiting past 30 days (0.44 vs 0.67).
5,6,12,unknown_competitor_check,Users hesitate on a saved item because they are checking a competitor before committing.,3.0,0.0112,0.0001,0.6667,0.6667,0.45,"This theme may delay a saved-item purchase, but the 30-day mechanism is weaker or mixed; treat volume as a loudness diagnostic rather than a conversion lever.",Hypothesis TBD — inspect quotes before committing a 30-day test,youtube:0.6667; play:0.3333,unknown:1.0,competitor_check:1.0,unknown_competitor_check outranks wait_for_sale_price for a buy within 30 days of save (recent 90 days): lower 30-day delay score (3 vs 5); higher share waiting past 30 days (0.67 vs 0.00); beats wait_for_sale_price despite lower share of all reviews (loudness) (0.000 vs 0.000).
6,5,6,wait_for_sale_price,Users wait for a sale or price drop before buying saved items because the current price feels too high.,5.0,0.0524,0.0004,0.0,0.6429,0.85,"Users wait for a cheaper price on a saved item, stretching the add-to-buy clock beyond 30 days.",Wishlist price-drop alerts / sale countdown on saved items,play:0.9286; youtube:0.0714,wait_for_sale:1.0,price:0.8571; returns:0.1429,wait_for_sale_price outranks shortlist_compare_open for a buy within 30 days of save (recent 90 days): higher 30-day delay score (5 vs 4).
7,7,7,shortlist_compare_open,Users delay while comparing shortlisted products.,4.0,0.0375,0.0003,0.0,0.6,0.8,Choice paralysis across shortlisted products postpones the buy until a comparison is resolved.,Hypothesis TBD — inspect quotes before committing a 30-day test,play:0.6; youtube:0.3; app_store:0.1,shortlist_compare:1.0,,shortlist_compare_open outranks shortlist_compare_review_volume_trust for a buy within 30 days of save (recent 90 days): composite conversion score is higher on the 90-day view.
8,8,10,shortlist_compare_review_volume_trust,Users delay while comparing shortlisted products because reviews are too few or untrusted.,4.0,0.03,0.0002,0.0,0.25,0.8,Choice paralysis across shortlisted products postpones the buy until a comparison is resolved.,Hypothesis TBD — inspect quotes before committing a 30-day test,play:1.0,shortlist_compare:1.0,review_volume_trust:1.0,shortlist_compare_review_volume_trust outranks shortlist_compare_competitor_check for a buy within 30 days of save (recent 90 days): composite conversion score is higher on the 90-day view.
9,9,11,shortlist_compare_competitor_check,Users delay while comparing shortlisted products because they are checking a competitor before committing.,4.0,0.0225,0.0002,0.0,0.1667,0.65,Choice paralysis across shortlisted products postpones the buy until a comparison is resolved.,Compare-saved-items across shortlisted SKUs,youtube:0.8333; play:0.1667,shortlist_compare:1.0,competitor_check:1.0,
10,11,9,occasion_social_styling_occasion,Users wait for occasion or social confidence before buying a saved look because they are unsure it will work for the occasion.,3.0,0.03,0.0002,0.0,0.25,0.675,"Shoppers wait for occasion or social confidence before buying a saved look, which can miss a 30-day clock.",Social / occasion proof on saved items,play:0.75; youtube:0.25,occasion_social:0.875; intent_blocked:0.125,styling_occasion:1.0,
11,10,1,bookmark_later_price,Users save items as bookmarks instead of buying now because the current price feels too high.,2.0,0.2622,0.0019,0.0,0.5286,0.7,"Saving is bookmarking, not near-term purchase intent, so 30-day conversion stays low.",Wishlist price-drop alerts / sale countdown on saved items,play:0.7; youtube:0.3,bookmark_later:0.6; intent_blocked:0.3714; impulse_park:0.0143; wait_for_sale:0.0143,delivery_checkout_saved:0.375; price:0.375; competitor_check:0.125; returns:0.125,
12,12,4,unknown_fabric_quality,Users hesitate on a saved item because fabric or quality feels uncertain before they commit to a saved item.,2.0,0.0974,0.0007,0.0,0.3462,0.475,"This theme may delay a saved-item purchase, but the 30-day mechanism is weaker or mixed; treat volume as a loudness diagnostic rather than a conversion lever.",Hypothesis TBD — inspect quotes before committing a 30-day test,youtube:0.8077; play:0.1923,unknown:1.0,fabric_quality:0.6667; returns:0.3333,
