doc_id,source,jobs,blockers,postponement_beyond_30d,quote
3c4512970875a6f256e14a570f1dec45,youtube,unknown,,unknown,my content creation in YouTube and Instagram like reviewing the product and like
f73d551f9add7e3e4ac9cb5bd10af246,youtube,bookmark_later,,unknown,wishlist
c86708bcfe3004ca60b74bf36d8aa3a0,youtube,unknown,,unknown,Please refer this shorts to know how you can start earning  https://youtube.com/
b5956dcc824e6925c3b28ded9e6101a6,play,"wait_for_sale,bookmark_later","sale_timing,price,competitor_check",yes,EORS
7ffb19e23d66eaaa6afb759dacee3476,play,unknown,,yes,mynthra is good as always but now days it's tooo bad not delivering our order on
2edafac994c7183dcf712ed8e11b4c13,play,unknown,,yes,"I wish I had the option to rate zero, unfortunately 1 I have to select, worst ap"
28d987f84bbe3e04fff2ca247d7a820d,play,"shortlist_compare,intent_blocked","review_volume_trust,social_validation",unknown,comfortable to wear worth buying
7fca4878c784940ce70b160d375a3029,play,"wait_for_sale,bookmark_later",price,unknown,sale
71e1c22f2bd74443fbae6c1f23d6579e,play,"wait_for_sale,bookmark_later","price,sale_timing,competitor_check",unknown,"They charge very high platform fees, and the worst part is that the platform fee"
c931129477657c7f831bce328fea0c5c,play,wait_for_sale,,unknown,Sale
419af3bf33b17aef5940243bc7f31bb3,play,unknown,,yes,Very disappointing experience with Myntra. I requested an exchange for a size is
8c0f401e8dd79dac33f851ea4823e2aa,play,"intent_blocked,bookmark_later",,unknown,I was an ardent fan of Myntra and I used to spend a lot on Myntra. offlate Myntr
3ca5413fa11efc029b56b301270419bb,play,bookmark_later,returns,unknown,wishlist
1ca28b8c98474a3e63869c1d42900507,play,bookmark_later,,unknown,quality ek number but delivery aachi nahi hai time pe nahi aata hai 2 din 2 din 
1a082f7c3ea89dd52821e2c6fa87eb7f,play,unknown,price,yes,this app delivers parcel 2 days later while flipkart or Amazon takes more than a
78707aee70fc91d98f92dcec79b14230,play,"wait_for_sale,bookmark_later","price,sale_timing,competitor_check",unknown,ok ok some clothes are very good as well as pricing but some are too expensive a
1377f87876caad84076ffb369a212dc0,play,"shortlist_compare,intent_blocked","review_volume_trust,social_validation",unknown,worth buying every single product
2a79f576c0b45b434132b85309e85cca,play,bookmark_later,,yes,"Worse shopping app, order on COD to avoid scams. Recently ordered a pair of heel"
e505899d386f111dab479bb8976d934f,play,"occasion_social,impulse_park,bookmark_later",styling_occasion,unknown,wedding
58340eb3d7c3a11c8dff86fa7a14c387,play,intent_blocked,"price,fit",unknown,size
cc92200c5011660f2cecde31d5af4ffa,play,"shortlist_compare,intent_blocked","review_volume_trust,social_validation",unknown,"Really !! a better experience than any shopping apps , worth buying."
717ca64861a3e6f3605b463f8e72fbd7,play,"shortlist_compare,intent_blocked","review_volume_trust,social_validation",unknown,Totally worth buying from Myntra
8fbcd4dbca1970d03bd1d3cd184f302b,play,unknown,,yes,"cheat company, they sell products with wrong information displayed and later ref"
b8e4d144b98bc58592a34f39717248ee,play,bookmark_later,,unknown,wishlist
4ebe08a17e4f2fff7ed50903e64b8676,play,"wait_for_sale,bookmark_later","price,sale_timing,competitor_check",unknown,too expensive according to products
4584b790ba35d7396228ffc5d8dce405,play,unknown,,yes,"delivery was very late, I ordered a dress for my birthday and it had to come 3 d"
0d741f0ed98131984145eb72f571d0e4,play,"wait_for_sale,bookmark_later","sale_timing,price,competitor_check",yes,EORS
90981e58c50f9aa017d6a9ff3c47443d,play,bookmark_later,,unknown,wishlist
6e892dd02cff92fb34e6c28aaac586fe,play,unknown,,yes,Very disappointed with Myntra service. I faced a fraud issue during an exchange 
00eec99c59ba05014eac3c8b4d30536d,play,wait_for_sale,returns,unknown,Sale
b208a0dab5a96deca0a71f9fc57bc914,play,bookmark_later,,yes,"It's been 5 days of waiting and a constant wait for a single order, that got pos"
b3e5240183efb647f3f7313a08fe13f5,play,wait_for_sale,,unknown,Sale
54aef7413538e888e675e308c97a2572,youtube,bookmark_later,,unknown,wishlist
a2eab421feecdb1d335d883a610413cd,play,unknown,,yes,I can't open my glam clan account for months now. They keep showing the uploadin
583072843610be92f77fd5127a27d1ec,play,"intent_blocked,bookmark_later",,unknown,worst experience I ordered first and myntra took the order and then canceled it 
47295030c4f6b9ffc9886bf69a9fa3fe,play,unknown,price,yes,"If you purchase a product at the lowest price they will not deliver it, instead "
7abb0649d96161e2853c36596d6d0e69,play,"shortlist_compare,intent_blocked","review_volume_trust,social_validation",unknown,Good stitching and nice material.” “Perfect for daily wear and sleeping.” “Styli
413d5204caa26cb9669e0182af541200,play,"wait_for_sale,bookmark_later","price,sale_timing,competitor_check",unknown,too expensive 🙄
0182e36a39f360300ada2436c80ab779,play,bookmark_later,,unknown,wish list
40fa4847467f1b19d94b78a0f831df97,play,unknown,,yes,"I purchased Saucony running shoes from Myntra for around ₹10,000. Within a few d"
3fa60860ea45640796c0a6ee9ce48df0,play,shortlist_compare,,unknown,vs
61e96b8a72a869efc1f9a31465da4d20,play,unknown,,yes,"I am absolutely furious because, initially, they accepted the exchange request a"
c495fc1e4b95e0a12eefa73d70c7c5cb,play,"intent_blocked,bookmark_later",,unknown,after the payment product is out of stock. refund my payment
b123d9c331f47fe5f5c6bb5f0e57fa43,play,unknown,,yes,"very bad customer care service, I ordered something, it was a prepaid order, lat"
a2333ca0895ce867a78614876ef11672,play,"intent_blocked,bookmark_later",,unknown,"very worst app, this is my first order. i order a product from Myntra 25 days ag"
53284ec6858d2dc0b18664005784b55f,play,unknown,,yes,"The delivery system is very bad, the ordered items are delivered after almost 10"
5e1ab14b786dddb115e9f90101885f55,play,"bookmark_later,wait_for_sale","price,sale_timing,competitor_check",unknown,wishlist
037903b6f44b83f6e8a0e378dbb2e0b4,play,unknown,,yes,"very bad customer care support,I had paid using yes bank credit line on phone pe"
577a99d00e92d94983611c1d121e85ff,play,"intent_blocked,bookmark_later",,unknown,firstly my favourite product went out of stock and now it's available but it can
f9e71a6745b54c1938388ef9d73540c2,play,bookmark_later,,unknown,wishlist
50c7e26bd6c3745c080445e50dfdea17,play,"occasion_social,impulse_park,bookmark_later",styling_occasion,unknown,wedding
dc7b3ac7c9cf91838a6cf9863ea088b4,play,bookmark_later,,unknown,wishlist
11daaf74644654543e6bc297a1d12dc9,play,"intent_blocked,bookmark_later",,unknown,size chart
cc68b4b04a7db77c66c861aa3a172fbb,play,"occasion_social,impulse_park,bookmark_later",styling_occasion,unknown,office
d28ccd5c5e39dc61f0caf2821b636f93,play,unknown,,yes,myntra has become a fraud shopping app . Refund system is totally fraud .I didn'
92595d501ab714be90b77d8a656df74e,play,"intent_blocked,bookmark_later",,unknown,size
d5aff6f0db404f8b5135125cd30c7903,play,unknown,,yes,don't make prepaid orders. I ordered a kurti set on the Myntra app. The delivery
00f5a6bde3321925e47b9d2c4d9d59c4,play,unknown,,yes,"I placed an order on Myntra because it showed Express+ delivery (1 day), as I ur"
12019cf628ee9c2093894ccc75527504,play,intent_blocked,,yes,fake
61366d15dc24f1e4cdcf016aa469217b,play,"occasion_social,impulse_park,bookmark_later",styling_occasion,unknown,wedding
0998b75d8f616aa0fe7742b5ca76a7f2,play,"shortlist_compare,intent_blocked","review_volume_trust,social_validation",unknown,worth buying
030daca08f8a7362e9b029914ee0b7ce,play,unknown,,yes,style exchange is not working in app. customer care suggest uninstall install cl
5b98af193a87e2f7f0a8b26b73a58c24,play,bookmark_later,,unknown,wishlist
e48be276a52b5ceca53b840dfea71b93,play,"intent_blocked,occasion_social,impulse_park,bookmark_later",styling_occasion,unknown,size chart
9d3bba84fd63f4481a430bebb04b8216,play,"wait_for_sale,bookmark_later","price,sale_timing,competitor_check",unknown,That's not fair Myntra. Please don't apply rs 23 Platform fee on every purchase.
6b8435b7d5ad0507cc8aea75b5441a2d,youtube,unknown,,unknown,Mera 100 subscriber hai youtube par kohi bhi community post par like comment nah
73ffa282c869657a8321e57fb1090db9,youtube,shortlist_compare,,unknown,Which one is your favourite
d55d2721f0d01f77598316f62e9e8000,youtube,unknown,,unknown,Hii pls do Cotton Kurta sets haul for office.. most of the time Pakistani suit s
f51b1646daca48cb6a34e5de699c96e9,youtube,bookmark_later,,unknown,wish list
2835af9cac363e4ae69d54266a78616e,youtube,shortlist_compare,,unknown,Can you please make a farewell saree haul for class 10 girls 🥺 like  i am wearin
20b23db7b27ce862b9a853000d99e8ef,youtube,unknown,,unknown,Amazon ka link nhi bn rha h bol fhe h ki program join kro usme sirf telegram and
b68a7f1e3498adddeaa78fffaf9178e1,youtube,bookmark_later,,yes,I have not crossed expert level but i received 100rs bonus this month. Will the 
4895d700111a4c73fab9e6e7afe62ae6,youtube,bookmark_later,,unknown,wishlist
02641db616ea5d73a29d33b10e996428,youtube,bookmark_later,,unknown,wishlist
f95e65477721495a01b0a92a11a6c43b,youtube,unknown,,unknown,Bhaiya aap itne Bade YouTube per hain aur aap logon ko abhi bhi bevkuf banaa rah
